frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s),delta_x_change,time_change,delta_time_change,err_v
4,0.01,20.452,13.527,0.01059000000000001,0.0,1.059000000000001,0.01059000000000001,0.0,0.01,0,0.0
5,0.0125,20.9,13.527,0.014659999999999975,0.0,1.4659999999999975,0.014659999999999975,0.0,0.01,0,0.0
6,0.015,21.267,13.568,0.01384999999999998,0.12199999999999989,1.384999999999998,0.01384999999999998,0.0,0.01,0,0.0
7,0.0175,21.633,13.609,0.015479999999999983,0.08200000000000074,1.5479999999999983,0.015479999999999983,0.0,0.01,0,0.0
8,0.02,21.959,13.609,0.01506999999999998,0.08200000000000074,1.506999999999998,0.01506999999999998,0.0,0.01,0,0.0
9,0.0225,22.285,13.568,0.013850000000000015,0.04100000000000037,1.3850000000000016,0.013850000000000015,0.0,0.01,0,0.0
10,0.025,22.611,13.649,0.013440000000000013,0.08099999999999952,1.3440000000000012,0.013440000000000013,0.0,0.01,0,0.0
11,0.0275,22.937,13.649,0.01304000000000002,0.03999999999999915,1.304000000000002,0.01304000000000002,0.0,0.01,0,0.0
12,0.03,23.303,13.69,0.013440000000000013,0.08099999999999952,1.3440000000000012,0.013440000000000013,0.0,0.01,0,0.0
