frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s),delta_x_change,time_change,delta_time_change,err_v
4,0.01,20.085,13.69,0.006509999999999998,-0.0810000000000013,0.6509999999999998,0.006509999999999998,0.0,0.01,0,0.0
5,0.0125,20.33,13.69,0.008959999999999973,0.0,0.8959999999999974,0.008959999999999973,0.0,0.01,0,0.0
6,0.015,20.533,13.731,0.009370000000000012,0.08200000000000074,0.9370000000000012,0.009370000000000012,0.0,0.01,0,0.0
7,0.0175,20.819,13.69,0.009369999999999976,-0.04100000000000037,0.9369999999999976,0.009369999999999976,0.0,0.01,0,0.0
8,0.02,21.022,13.731,0.009369999999999976,0.04100000000000037,0.9369999999999976,0.009369999999999976,0.0,0.01,0,0.0
9,0.0225,21.307,13.69,0.009770000000000003,0.0,0.9770000000000003,0.009770000000000003,0.0,0.01,0,0.0
10,0.025,21.47,13.69,0.009369999999999976,-0.04100000000000037,0.9369999999999976,0.009369999999999976,0.0,0.01,0,0.0
11,0.0275,21.715,13.69,0.008960000000000008,0.0,0.8960000000000008,0.008960000000000008,0.0,0.01,0,0.0
12,0.03,21.796,13.69,0.007740000000000009,-0.04100000000000037,0.7740000000000009,0.007740000000000009,0.0,0.01,0,0.0
