frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s)
1,0.0,264.215,180.879,4.288999999999987,1.225999999999999,1784.3137392286096,17.843137392286096
2,0.0025,268.504,180.879,4.289000000000044,0.0,1715.6000000000176,17.156000000000176
3,0.005,272.794,181.491,4.289999999999964,0.6120000000000232,1733.3733123594452,17.333733123594453
4,0.0075,278.921,180.879,6.1270000000000095,-0.6120000000000232,2462.9956719409847,24.629956719409847
5,0.01,285.049,179.653,6.127999999999986,-1.225999999999999,2499.774709848864,24.99774709848864
6,0.0125,291.177,180.879,6.128000000000043,1.225999999999999,2499.7747098488862,24.997747098488862
