frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s)
1,0.0,19.415,13.643,0.07499999999999929,0.07500000000000107,42.42640687119295,0.4242640687119295
2,0.0025,19.865,13.643,0.4499999999999993,0.0,179.99999999999972,1.7999999999999972
3,0.005,20.24,13.718,0.375,0.07499999999999929,152.9705854077835,1.529705854077835
4,0.0075,20.54,13.643,0.3000000000000007,-0.07499999999999929,123.69316876853003,1.2369316876853003
5,0.01,20.915,13.643,0.375,0.0,150.0,1.5
6,0.0125,21.364,13.718,0.4490000000000016,0.07499999999999929,182.08833021366365,1.8208833021366366
7,0.015,21.814,13.793,0.4499999999999993,0.07499999999999929,182.48287590894626,1.8248287590894625
8,0.0175,22.039,13.793,0.22500000000000142,0.0,90.00000000000057,0.9000000000000057
9,0.02,22.339,13.793,0.29999999999999716,0.0,119.99999999999886,1.1999999999999886
10,0.0225,22.714,13.493,0.375,-0.29999999999999893,192.0937271229852,1.920937271229852
11,0.025,23.088,13.718,0.37400000000000233,0.22499999999999964,174.58568097069204,1.7458568097069205
12,0.0275,23.463,13.793,0.375,0.07499999999999929,152.9705854077835,1.529705854077835
13,0.03,23.763,13.868,0.3000000000000007,0.07500000000000107,123.6931687685302,1.236931687685302
