frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s),delta_x_change,time_change,delta_time_change,err_v
4,0.01,265.44,183.33,2.12017,-55.149,212.017,2.12017,0.0,0.01,0,0.0
5,0.0125,266.666,183.33,0.07353000000000008,2.451000000000022,7.353000000000008,0.07353000000000008,0.0,0.01,0,0.0
6,0.015,267.891,184.555,0.07353000000000008,2.4509999999999934,7.353000000000008,0.07353000000000008,0.0,0.01,0,0.0
7,0.0175,270.343,183.943,0.06741000000000043,1.8389999999999986,6.741000000000043,0.06741000000000043,0.0,0.01,0,0.0
8,0.02,272.794,183.33,0.07353999999999986,0.0,7.353999999999986,0.07353999999999986,0.0,0.01,0,0.0
