frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s),delta_x_change,time_change,delta_time_change,err_v
4,0.01,21.226,13.609,0.01791999999999998,0.12299999999999933,1.791999999999998,0.01791999999999998,0.0,0.01,0,0.0
5,0.0125,21.674,13.568,0.022399999999999986,0.08199999999999896,2.2399999999999984,0.022399999999999986,0.0,0.01,0,0.0
6,0.015,22.244,13.486,0.02158999999999999,-0.08199999999999896,2.158999999999999,0.02158999999999999,0.0,0.01,0,0.0
7,0.0175,22.733,13.446,0.020770000000000018,-0.16300000000000026,2.0770000000000017,0.020770000000000018,0.0,0.01,0,0.0
8,0.02,23.344,13.405,0.02118000000000002,-0.20400000000000063,2.118000000000002,0.02118000000000002,0.0,0.01,0,0.0
9,0.0225,23.874,13.405,0.021999999999999992,-0.16300000000000026,2.1999999999999993,0.021999999999999992,0.0,0.01,0,0.0
10,0.025,24.485,13.486,0.022409999999999996,0.0,2.2409999999999997,0.022409999999999996,0.0,0.01,0,0.0
