frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s)
1,0.0,260.538,180.266,1.2250000000000227,1.225999999999999,693.2475459747467,6.932475459747467
2,0.0025,262.989,181.491,2.450999999999965,1.2250000000000227,1096.0310944494145,10.960310944494145
3,0.005,267.279,181.491,4.2900000000000205,0.0,1716.0000000000082,17.160000000000082
4,0.0075,271.568,183.943,4.288999999999987,2.451999999999998,1976.1710452286213,19.761710452286213
5,0.01,274.019,180.879,2.451000000000022,-3.0640000000000214,1569.4838387189711,15.694838387189712
6,0.0125,277.696,181.491,3.677000000000021,0.6120000000000232,1491.0330915174316,14.910330915174315
7,0.015,280.76,183.33,3.0639999999999645,1.8389999999999986,1429.4064222606405,14.294064222606405
8,0.0175,283.823,180.879,3.062999999999988,-2.451000000000022,1569.1715011432007,15.691715011432008
9,0.02,287.5,182.104,3.677000000000021,1.2250000000000227,1550.275020762456,15.50275020762456
10,0.0225,291.177,177.202,3.677000000000021,-4.902000000000015,2451.1200052221125,24.511200052221124
