frame,time,X,Y,x_change,y_change,velocity(cm/s),velocity(m/s),delta_x_change,time_change,delta_time_change,err_v
4,0.01,272.181,183.33,0.12867999999999996,3.0640000000000214,12.867999999999997,0.12867999999999996,0.0,0.01,0,0.0
5,0.0125,275.245,182.104,0.12867999999999996,2.451000000000022,12.867999999999997,0.12867999999999996,0.0,0.01,0,0.0
6,0.015,278.921,185.781,0.12254999999999995,6.128000000000014,12.254999999999995,0.12254999999999995,0.0,0.01,0,0.0
7,0.0175,281.372,187.006,0.11641999999999997,3.6759999999999877,11.641999999999996,0.11641999999999997,0.0,0.01,0,0.0
8,0.02,286.887,185.168,0.14706000000000016,1.8379999999999939,14.706000000000016,0.14706000000000016,0.0,0.01,0,0.0
9,0.0225,289.338,186.394,0.1409300000000002,4.289999999999992,14.09300000000002,0.1409300000000002,0.0,0.01,0,0.0
10,0.025,291.789,187.619,0.12867999999999996,1.8379999999999939,12.867999999999997,0.12867999999999996,0.0,0.01,0,0.0
11,0.0275,296.079,185.781,0.14706999999999995,-1.2249999999999943,14.706999999999995,0.14706999999999995,0.0,0.01,0,0.0
